estrategia,esperança,variancia,R1(%),R2(%),R3(%),R4(%),R5(%),R6(%),R7(%),R8(%),>=1(%),>=2(%),>=3(%),>=4(%),>=5(%),>=6(%),>=7(%),>=8(%),>=9(%),>=10(%),>=11(%),>=12(%),>=13(%),>=14(%),>=15(%),>=16(%),>=17(%),>=18(%),>=19(%),>=20(%),>=21(%),>=22(%),>=23(%),>=24(%)
2221111,4.026233626501276,1.504701668069771,39.53230976604174,23.90427461165895,14.454362724852663,16.96719381295049,3.946026998542397,0.9177197623180682,0.2134322858055029,0.06468003783019013,99.99918638235219,99.16193600063423,89.99045949235501,65.37784372319791,34.00199347011245,11.587657811288793,2.302066789349368,0.201890318660773,0.00012718265574562793,0.00010158189328990375,6.215951846400003e-05,2.746894837457603e-05,8.389414759335523e-06,1.6734637284798737e-06,1.959589752686952e-07,1.021577133997198e-08,6.133404895081185e-11,3.154809746774845e-11,1.0686562745831907e-11,2.3590018827235326e-12,2.7000623958883807e-13,-7.105427357601002e-14,-1.1368683772161603e-13,-1.1368683772161603e-13,
2222000,4.031031148276831,1.5415427785126852,39.53230976604174,23.90427461165895,14.454362724852663,8.740219277756637,13.368833619690012,0,0,0,99.83183190164151,98.85242089680163,89.95489044450903,65.73258157292034,34.39458926000786,11.780564781770408,2.349295989012745,0.20659912867496644,0.00013236307708552886,0.00010531868664998001,6.424893125256403e-05,2.833898886933639e-05,8.646381147059401e-06,1.7238409100173158e-06,2.018078362198139e-07,1.0519443094381131e-08,6.31530383543577e-11,3.248601387895178e-11,1.1013412404281553e-11,2.4300561562995426e-12,2.8421709430404007e-13,-4.263256414560601e-14,-8.526512829121202e-14,-8.526512829121202e-14,
2222100,4.059819724802339,1.4838828484008921,39.53230976604174,23.90427461165895,14.454362724852663,8.740219277756637,10.259670196210232,3.1091634234797794,0,0,99.96088947508163,99.3456504793391,90.77934298635483,66.51420990203201,34.84845089271356,11.94187866517737,2.3817580781063583,0.20944851827420052,0.000133023851873304,0.00010615564848137637,6.491318050905193e-05,2.8673634787423907e-05,8.755341156074792e-06,1.7462548527191757e-06,2.044711635562635e-07,1.0659235272214573e-08,6.397726792783942e-11,3.289812866569264e-11,1.1141310096718371e-11,2.4300561562995426e-12,2.5579538487363607e-13,-8.526512829121202e-14,-1.2789769243681803e-13,-1.2789769243681803e-13,
2222110,4.0665150276008815,1.470235416188526,39.53230976604174,23.90427461165895,14.454362724852663,8.740219277756637,10.259670196210232,2.386071382026978,0.7230920414528019,0,99.99090414190134,99.46035991630487,90.9710842975584,66.69599167004282,34.95400460277327,11.979395118763108,2.389307722520442,0.21011119522668764,0.00013317752697616925,0.00010635029906325144,6.506766366953798e-05,2.8751462750165047e-05,8.780681795883538e-06,1.7514676216023872e-06,2.05090572080735e-07,1.069176391865767e-08,6.417621989385225e-11,3.3011815503414255e-11,1.1183942660863977e-11,2.4584778657299466e-12,2.7000623958883807e-13,-8.526512829121202e-14,-1.2789769243681803e-13,-1.2789769243681803e-13,
2222111,4.0680721410456675,1.4670486096883053,39.53230976604174,23.90427461165895,14.454362724852663,8.740219277756637,10.259670196210232,2.386071382026978,0.5549239430943076,0.16816809835849436,99.99788459411569,99.48703766515624,91.01567719836962,66.73826829942072,34.978553022169166,11.988120246817317,2.3910635285196804,0.21026531270622684,0.0001332132668636632,0.00010639556855096544,6.510359148137468e-05,2.8769563016339816e-05,8.786575193653334e-06,1.7526799354072864e-06,2.052346133041283e-07,1.0699295671656728e-08,6.420464160328265e-11,3.3011815503414255e-11,1.1169731806148775e-11,2.4300561562995426e-12,2.4158453015843406e-13,-1.1368683772161603e-13,-1.5631940186722204e-13,-1.5631940186722204e-13,
2222200,4.071335226472733,1.4883443917240555,39.53230976604174,23.90427461165895,14.454362724852663,8.740219277756637,5.285008718642587,8.083824901047427,0,0,99.89831263521225,99.30608542268838,91.00454030021004,66.96260227633873,35.22165580604302,12.106795822092607,2.420030279030854,0.2131484641593886,0.00013635405997547423,0.00010866564943512458,6.637536682774225e-05,2.9299865971665895e-05,8.943327458155181e-06,1.7834238263958468e-06,2.088048063342285e-07,1.0884690482271253e-08,6.534150998049881e-11,3.360867140145274e-11,1.1397105481592007e-11,2.5153212845907547e-12,2.8421709430404007e-13,-7.105427357601002e-14,-1.1368683772161603e-13,-1.1368683772161603e-13,
2222210,4.088743013748944,1.4522736685140138,39.53230976604174,23.90427461165895,14.454362724852663,8.740219277756637,5.285008718642587,6.203785593270141,1.880039307777285,0,99.97635076894349,99.60432995879937,91.50306770933935,67.43523487316682,35.496095452198276,12.2043386014155,2.439659354507455,0.21487142423580963,0.00013675361522302865,0.00010917174093094673,6.677702299384691e-05,2.950221862363378e-05,9.009213059130161e-06,1.7969770027548293e-06,2.1041525144482875e-07,1.0969216646117275e-08,6.582467904081568e-11,3.383604507689597e-11,1.1439738045737613e-11,2.4868995751603507e-12,2.4158453015843406e-13,-1.1368683772161603e-13,-1.5631940186722204e-13,-1.5631940186722204e-13,
2222211,4.092791508705394,1.4437979054882923,39.53230976604174,23.90427461165895,14.454362724852663,8.740219277756637,5.285008718642587,6.203785593270141,1.4428022520451995,0.4372370557320853,99.99449994470078,99.67369210581295,91.61900925144846,67.5451541095494,35.559921342627646,12.227023934356481,2.444224450105523,0.21527212968268827,0.00013684653900725152,0.0001092894416387935,6.687043540409832e-05,2.9549279418006336e-05,9.024535984281101e-06,1.8001290840174988e-06,2.1078983536426676e-07,1.098892710160726e-08,6.59952092973981e-11,3.394973191461759e-11,1.1525003174028825e-11,2.5579538487363607e-12,3.126388037344441e-13,-4.263256414560601e-14,-8.526512829121202e-14,-8.526512829121202e-14,
2222220,4.095706171627887,1.4546003645442163,39.53230976604174,23.90427461165895,14.454362724852663,8.740219277756637,5.285008718642587,3.1957227008264857,4.88810220022094,0,99.93851199925307,99.58040588290292,91.6392393234965,67.70636738509529,35.721763843128244,12.304060197001647,2.462801670408197,0.2171086960524775,0.0001387673151356239,0.00011068948052184169,6.766117330414545e-05,2.9880886160071896e-05,9.12288405174877e-06,1.8194522368730759e-06,2.130357188434573e-07,1.1105555586254923e-08,6.66631194690126e-11,3.4290792427782435e-11,1.1624479157035239e-11,2.5579538487363607e-12,2.8421709430404007e-13,-7.105427357601002e-14,-1.1368683772161603e-13,-1.1368683772161603e-13,
2222221,4.106232258514651,1.43234860737223,39.53230976604174,23.90427461165895,14.454362724852663,8.740219277756637,5.285008718642587,3.1957227008264857,3.7512858553175183,1.1368163449034216,99.98569985622204,99.76074746513824,91.94068733298019,67.99215739969003,35.887711158244585,12.363042062648205,2.4746709189631844,0.21815053021435915,0.00013900891697460338,0.00011099550236792766,6.790404552248219e-05,3.0003244148701924e-05,9.162723571876086e-06,1.8276475373113499e-06,2.1400954608452594e-07,1.1156700452374935e-08,6.698996912746225e-11,3.446132268436486e-11,1.1695533430611249e-11,2.5863755581667647e-12,3.126388037344441e-13,-4.263256414560601e-14,-8.526512829121202e-14,-8.526512829121202e-14,
